PROJECTID,cohort_col,TESTNAME,n,omnibus_pval,omnibus_qval_fdr_bh,gba_included,log_transform,pd_only
151,HEURISTIC,KLRK1_3056-11_1,516.0,0.0002304651681756018,0.019422650724867957,False,False,True
151,HEURISTIC,IL4R_3055-54_2,516.0,0.2805590535038517,0.7240615910912497,False,False,True
151,HEURISTIC,HP_3054-3_2,516.0,0.5363505378825068,0.8529259011157767,False,False,True
151,HEURISTIC,FLT3LG_3053-49_2,516.0,0.6973405991048048,0.9220366683788456,False,False,True
151,HEURISTIC,FASLG_3052-8_2,516.0,0.21162978645585911,0.6684108666398382,False,False,True
151,HEURISTIC,VWF_3050-7_2,516.0,0.5908417696561339,0.8756927137899279,False,False,True
151,HEURISTIC,PRSS1_3049-61_2,516.0,0.7911532681704381,0.9484389471161038,False,False,True
151,HEURISTIC,RETN_3046-31_1,516.0,0.23862625130829626,0.6869406350063368,False,False,True
151,HEURISTIC,PTN_3045-72_2,516.0,0.11303552829492736,0.5372179177992275,False,False,True
151,HEURISTIC,CCL18_3044-3_2,516.0,0.6068879423411544,0.8834017143307196,False,False,True
151,HEURISTIC,SPARC_3043-49_2,516.0,0.13559134438399278,0.5734393464205428,False,False,True
151,HEURISTIC,MB_3042-7_2,516.0,0.4968372190786711,0.8400169780114847,False,False,True
151,HEURISTIC,MRC2_3041-55_2,516.0,0.5113246329710459,0.8449475341320055,False,False,True
151,HEURISTIC,CCL3_3040-59_1,516.0,0.25113701955983136,0.7004086349602496,False,False,True
151,HEURISTIC,CXCL11_3038-9_2,516.0,0.5009578502945579,0.8400169780114847,False,False,True
151,HEURISTIC,IL1B_3037-62_1,516.0,0.4617594361432632,0.8217508482958511,False,False,True
151,HEURISTIC,IL19_3035-80_2,516.0,0.5855183751427507,0.8730975648864447,False,False,True
151,HEURISTIC,GFAP_3034-1_2,516.0,0.876823790137225,0.9689627347084057,False,False,True
151,HEURISTIC,LGALS2_3033-57_1,516.0,0.9014786787965945,0.975879787071471,False,False,True
151,HEURISTIC,CGA_3032-11_2,516.0,0.627951916139539,0.8938348765550573,False,False,True
151,HEURISTIC,FSHB_3032-11_2,516.0,0.627951916139539,0.8938348765550573,False,False,True
151,HEURISTIC,FTH1_3031-66_1,516.0,0.07970928932611261,0.4643849895423581,False,False,True
151,HEURISTIC,FTL_3031-66_1,516.0,0.07970928932611261,0.4643849895423581,False,False,True
151,HEURISTIC,CLEC4M_3030-3_2,516.0,0.11860580799074097,0.546413939169408,False,False,True
151,HEURISTIC,CD209_3029-52_2,516.0,0.02254107037870787,0.2805513156736831,False,False,True
151,HEURISTIC,CCL23_3028-36_2,516.0,0.04932741733773892,0.38650594375576136,False,False,True
151,HEURISTIC,MMP8_2954-56_2,516.0,0.4241973005842955,0.8019909908892857,False,False,True
151,HEURISTIC,CGA_2953-31_2,516.0,0.7375421805050636,0.9311271884398389,False,False,True
151,HEURISTIC,LHB_2953-31_2,516.0,0.7375421805050636,0.9311271884398389,False,False,True
151,HEURISTIC,IGF1_2952-75_2,516.0,0.060152596538305396,0.42028560080517674,False,False,True
151,HEURISTIC,IGFBP4_2950-57_2,516.0,0.02568813275605505,0.3024832618439391,False,False,True
151,HEURISTIC,PLA2G10_2949-6_2,516.0,0.6604980484670279,0.9111453141078916,False,False,True
151,HEURISTIC,GHR_2948-58_2,516.0,0.5578806051502272,0.864317083351604,False,False,True
151,HEURISTIC,CFD_2946-52_2,516.0,0.1354906646650932,0.5734393464205428,False,False,True
151,HEURISTIC,ESR1_2945-25_1,516.0,0.4777775682997717,0.8270492403704363,False,False,True
151,HEURISTIC,NBL1_2944-66_2,516.0,0.5007233149985422,0.8400169780114847,False,False,True
151,HEURISTIC,CYP3A4_2943-5_2,516.0,0.5315246591978504,0.8525764609054193,False,False,True
151,HEURISTIC,CYCS_2942-50_2,516.0,0.36539434103852403,0.7802983073278442,False,False,True
151,HEURISTIC,ARTN_2939-10_2,516.0,0.005556857927406207,0.13578807312542948,False,False,True
151,HEURISTIC,APOE_2938-55_2,516.0,0.5530246471951191,0.8633613783103616,False,False,True
151,HEURISTIC,APOE_2937-10_2,516.0,0.7589970714264282,0.9363568253725177,False,False,True
151,HEURISTIC,SERPINE1_2925-9_1,516.0,0.21312455245030712,0.6685909276118348,False,False,True
151,HEURISTIC,TNFSF11_2917-3_2,516.0,0.97106338978968,0.9933469147805397,False,False,True
151,HEURISTIC,PCNA_2915-6_2,516.0,0.0007129447963438742,0.03917583179849705,False,False,True
151,HEURISTIC,PPBP_2914-65_3,516.0,0.41341483647129706,0.7939024752623414,False,False,True
151,HEURISTIC,CCL23_2913-1_2,516.0,0.09153351695452136,0.49375636289822095,False,False,True
151,HEURISTIC,MDK_2911-27_2,516.0,0.45445215953284235,0.8192314003146609,False,False,True
151,HEURISTIC,CAST_3026-5_2,516.0,0.8068536753371284,0.9496510390194759,False,False,True
151,HEURISTIC,FGF2_3025-50_1,516.0,0.10122961576762315,0.5159560680947226,False,False,True
151,HEURISTIC,SERPINF2_3024-18_2,516.0,0.23767008910479165,0.6866024796360648,False,False,True
