Principal Investigator,Organization,Project Title,Data Availability,Analyte,Matrix,Included Enrollment Cohorts,Subcategories included,Visit(s),Project ID,Notes
"Nick Hertz, PhD",Mitokinin,Assessing pS65 Ubiquitin levels in biofluids as a biomarker for Parkinson's Disease,Currently available,pS65Ub,CSF Plasma,Healthy Control Parkinson Disease Prodromal,,"Baseline, 6, 12, 24, 36, 48, 60 months",240,
"David Sulzer, PhD","Research Foundation for Mental Hygiene, Inc.",Adaptive immunity in the etiology and progression of Parkinson’s disease,Currently available,aSyn-reactive T cells,PBMCs,Healthy Control Parkinson Disease Prodromal,,,245,
"Ivan Martinez-Valbuena, PhD",University of Toronto,Developing a standardized skin-based alpha-synuclein seeding amplification assay for the diagnosis of Parkinson’s disease,Currently available,SAA,Skin,Healthy Control Parkinson Disease,,"BL, 6, 48,",248,
"Sri Ramulu, Pullagura, PhD",FNIH,Identification of disease progression-predictive autoantibody biomarker signatures in the plasma of PD patients,Currently available,"Targeted autoantibodies (Sengenics i-Ome Discovery IgG/IgM, AMP PD)",Plasma,Healthy Control Parkinson Disease,,Healthy Control: Baseline and 48 months; PD: 3 visits Baseline to 48 months,256,
"Luis Concha, PhD",Amprion,Evaluation of skin as a matrix for the detection and potential quantification of α- synuclein seeds in subjects with Parkinson’s disease,Currently available,aSyn SAA,Skin,Healthy Control Parkinson Disease Prodromal,,,259,
"Roland Heym, PhD",AbbVie,Evaluation of pathological alpha-synuclein in skin biopsies as potential biomarker for Parkinson’s disease,Partially available,aSyn SAA,Skin,Healthy Control Parkinson Disease Prodromal,,"Baseline, 36 months, 72 months, >72 months",262,
"Roland Heym, PhD",AbbVie,Evaluation of pathological alpha-synuclein in skin biopsies as potential biomarker for Parkinson’s disease,Currently available,pS129-aSyn,Skin,Healthy Control Parkinson Disease Prodromal,,"Baseline, 36 months, 72 months, >72 months",301,
"Roland Heym, PhD",AbbVie,Evaluation of pathological alpha-synuclein in skin biopsies as potential biomarker for Parkinson’s disease,Partially available,aSyn SAA,Skin,Healthy Control Parkinson Disease,,,302,
"Omar Mabrouk, PhD",Biogen,Surveying endo-lysosomal function in PD subtypes using an LC-MS-based 12-plex in CSF,Currently available,"LAMP1, LAMP2, Cathepsins B, D, F, L, S GM2A, GBA, GPNMB, Ubiquitin, LC3",CSF,Healthy Control Parkinson Disease,GBA & LRRK2 subjects,"Baseline, 12, and 24 months",264,
"Roland Heym, PhD",AbbVie,Validation of monoclonal antibody-based ligand binding assay for DDC as potential diagnostic biomarker for Parkinson’s disease,Currently available,DOPA decarboxylase (DDC),CSF,Healthy Control Parkinson Disease SWEDD (legacy),,Healthy Control and PD: Baseline and 36 months; SWEDD: Baseline,274,
"Mark Mintun, PhD",Eli Lilly & Co.,Assessment of plasma ptau217 in deeply biologically and phenotypically characterized neuronal a-synuclein disease (NSD) and related disorders in PPMI cohorts,Partially available,Tau,Plasma,Healthy Control Parkinson Disease,,"Baseline, 24, 36, 60 months",276,
"Tatiana Foroud, PhD",Indiana University,Assessment of CSF and plasma biomarkers of dementia and neurodegeneration in deeply biologically and phenotypically characterized neuronal a-synuclein disease (NSD) and related disorders PPMI cohorts,Currently available,NFL and GFAP (plasma); AB40/42 and p-tau 181 in CSF,CSF Plasma,Healthy Control Parkinson Disease Prodromal,,"CSF: BL or V02, V8-V12, HC; Plasma: BL or V02, V8-12, V14-V18",283,
"Erez Eitan, PhD",Neurodex Inc,α-Synuclein in Neuron-Derived Blood Extracellular Vesicles: A Biomarker for the Diagnosis and Staging of Neuronal α-Synuclein Diseases,Expected Q2 2026,aSyn SAA in EVs,Plasma,Healthy Control Parkinson Disease,,,286,
"Philip Verghese, PhD",C2N Diagnostics,MTBR tau 243 and PrecivityAD2 assays in PPMI Biosamples,Currently available,PrecivityAD2,Plasma,Healthy Control Parkinson Disease Prodromal,,"BL or V02, V8-V12, HC",292,
"Philip Verghese, PhD",C2N Diagnostics,MTBR tau 243 and PrecivityAD2 assays in PPMI Biosamples,Currently available,MTBR tau 243,CSF,Healthy Control Parkinson Disease Prodromal,,"BL or V02, V8-12, V14-V19",307,
"Kim Henriksen, PhD",Nordic Bioscience,alpha-synuclein fragments in serum predict disease progression in Parkinson's Disease,Currently available,Calpain-1 generated aSyn fragments (α-syn-C),Serum,Healthy Control Parkinson Disease,,"BL, V01, V02, V04",300,
