PROJECTID,TESTNAME,comparison,n,beta,pval,effect_size_std,mean_diff_raw,beta_ci_low,beta_ci_high,effect_size_std_ci_low,effect_size_std_ci_high,qval_fdr_bh,gba_included,log_transform,pd_only
145,"2,2' di-22:6-BMP",Non vs Predicted,372.0,-0.17618471938632746,0.014359577363007862,-0.17618471938632746,-0.2689128654063244,,,,,0.016154524533383844,False,True,True
145,"2,2' di-22:6-BMP",Non vs RV,624.0,-1.6037623057419692,6.592883458271772e-147,-1.6037623057419692,-2.0555108417594026,,,,,5.933595112444595e-146,False,True,True
145,"2,2' di-22:6-BMP",Predicted vs RV,424.0,-1.4275775863556417,2.3876669321566266e-72,-1.4275775863556417,-1.786597976353078,,,,,7.16300079646988e-72,False,True,True
145,total di-18:1-BMP,Non vs Predicted,372.0,-0.036654300992202196,0.7084797293219969,-0.036654300992202196,-0.0722852292926246,,,,,0.7084797293219969,False,True,True
145,total di-18:1-BMP,Non vs RV,624.0,-1.177591754995985,1.8201502292283717e-59,-1.177591754995985,-1.264883059368413,,,,,3.276270412611069e-59,False,True,True
145,total di-18:1-BMP,Predicted vs RV,424.0,-1.1409374540037827,9.375307947171484e-30,-1.1409374540037827,-1.1925978300757885,,,,,1.4062961920757226e-29,False,True,True
145,total di-22:6-BMP,Non vs Predicted,372.0,-0.22376047442352748,0.0019066809050348064,-0.22376047442352748,-0.30493564261025163,,,,,0.002451446877901894,False,True,True
145,total di-22:6-BMP,Non vs RV,624.0,-1.6007606295310433,1.6523051295970269e-146,-1.6007606295310433,-1.877449051411932,,,,,7.4353730831866205e-146,False,True,True
145,total di-22:6-BMP,Predicted vs RV,424.0,-1.3770001551075157,2.4606831219311773e-68,-1.3770001551075157,-1.5725134088016803,,,,,5.536537024345149e-68,False,True,True
151,CDKN2B_9874-28_3,Non vs Predicted,375.0,0.03277748873734118,0.7831788497143461,0.03277748873734118,0.015074609158130414,,,,,0.9606797266652393,False,False,True
151,CDKN2B_9874-28_3,Non vs RV,423.0,0.2150624133816978,0.03867904505095824,0.2150624133816978,0.05473001018730539,,,,,0.44520370221919275,False,False,True
151,CDKN2B_9874-28_3,Predicted vs RV,234.0,0.1822849246443566,0.1680029302941998,0.1822849246443566,0.039655401029174975,,,,,0.7042126889620604,False,False,True
151,ESRRA_9873-17_3,Non vs Predicted,375.0,0.11431308741064317,0.33346606108107496,0.11431308741064317,0.030174195844888452,,,,,0.8190763815917902,False,False,True
151,ESRRA_9873-17_3,Non vs RV,423.0,0.19004998178256846,0.06534602562637945,0.19004998178256846,0.051819542711491806,,,,,0.5411040999632318,False,False,True
151,ESRRA_9873-17_3,Predicted vs RV,234.0,0.0757368943719253,0.5633000531095772,0.0757368943719253,0.021645346866603354,,,,,0.9076449950593962,False,False,True
151,CTNNA2_9872-23_3,Non vs Predicted,375.0,0.10272545144125181,0.3934352891085855,0.10272545144125181,0.017333217155147906,,,,,0.8484989562210072,False,False,True
151,CTNNA2_9872-23_3,Non vs RV,423.0,-0.16651333036738677,0.11274314242389612,-0.16651333036738677,-0.035622338596528635,,,,,0.64029541848425,False,False,True
151,CTNNA2_9872-23_3,Predicted vs RV,234.0,-0.2692387818086386,0.04405880213697703,-0.2692387818086386,-0.05295555575167654,,,,,0.46783365281436,False,False,True
151,WARS_9870-17_3,Non vs Predicted,375.0,0.16180717611710865,0.15024582431463515,0.16180717611710865,0.04125897507344867,,,,,0.6831642690697085,False,False,True
151,WARS_9870-17_3,Non vs RV,423.0,-0.016854116521793815,0.8633359396693576,-0.016854116521793815,-0.011917700535308384,,,,,0.9738025887965069,False,False,True
151,WARS_9870-17_3,Predicted vs RV,234.0,-0.17866129263890246,0.15204502962801578,-0.17866129263890246,-0.05317667560875705,,,,,0.6857804645589701,False,False,True
151,NFKB1_9869-28_3,Non vs Predicted,375.0,-0.10454991526457687,0.3818913782757616,-0.10454991526457687,-0.028989684310466224,,,,,0.8431752567857046,False,False,True
151,NFKB1_9869-28_3,Non vs RV,423.0,-0.0833600695720205,0.42366550864488073,-0.0833600695720205,-0.01708537004563393,,,,,0.8630993759482153,False,False,True
151,NFKB1_9869-28_3,Predicted vs RV,234.0,0.021189845692556372,0.8729937399849863,0.021189845692556372,0.011904314264832294,,,,,0.9756288800897905,False,False,True
151,FBP2_9867-23_3,Non vs Predicted,375.0,-0.1005372092109846,0.3953442094911376,-0.1005372092109846,-0.08293793917503933,,,,,0.848930493933144,False,False,True
151,FBP2_9867-23_3,Non vs RV,423.0,-0.25976224646179763,0.011966921808759577,-0.25976224646179763,-0.219283787841956,,,,,0.288674810575041,False,False,True
151,FBP2_9867-23_3,Predicted vs RV,234.0,-0.15922503725081305,0.2250043772989179,-0.15922503725081305,-0.13634584866691668,,,,,0.7487651894817642,False,False,True
151,UBE2B_9865-40_3,Non vs Predicted,375.0,-0.07717067648415966,0.513501666385622,-0.07717067648415966,-0.005315659153340313,,,,,0.8899318765515575,False,False,True
151,UBE2B_9865-40_3,Non vs RV,423.0,0.011246976535527205,0.9129684388082291,0.011246976535527205,0.004848758677797882,,,,,0.9820511030713853,False,False,True
151,UBE2B_9865-40_3,Predicted vs RV,234.0,0.08841765301968688,0.4996713444019774,0.08841765301968688,0.010164417831138195,,,,,0.8846462221601175,False,False,True
151,TTC1_9864-38_3,Non vs Predicted,375.0,0.023652367362605647,0.839020273382858,0.023652367362605647,-0.01466306695557229,,,,,0.9698703467530146,False,False,True
151,TTC1_9864-38_3,Non vs RV,423.0,-0.39882223750883633,9.559772414088244e-05,-0.39882223750883633,-0.18768499679102213,,,,,0.01668863127145119,False,False,True
151,TTC1_9864-38_3,Predicted vs RV,234.0,-0.42247460487144195,0.0011342551282886805,-0.42247460487144195,-0.17302192983544984,,,,,0.07882804360770243,False,False,True
151,TPM4_9863-1_3,Non vs Predicted,375.0,-0.1051346377274396,0.38232479142106757,-0.1051346377274396,-0.011411929876450344,,,,,0.8431752567857046,False,False,True
151,TPM4_9863-1_3,Non vs RV,423.0,-0.19749526566094078,0.06002614197641309,-0.19749526566094078,-0.023663406985085622,,,,,0.5236307828329099,False,False,True
151,TPM4_9863-1_3,Predicted vs RV,234.0,-0.09236062793350118,0.48886702900752826,-0.09236062793350118,-0.012251477108635278,,,,,0.8812271380828643,False,False,True
151,SAT1_9859-180_3,Non vs Predicted,375.0,0.15351238065376863,0.19530987648418724,0.15351238065376863,0.018483369188955656,,,,,0.7262040586878475,False,False,True
151,SAT1_9859-180_3,Non vs RV,423.0,-0.014373119859087449,0.8892531051670477,-0.014373119859087449,0.004323711253905849,,,,,0.977227754997113,False,False,True
