PROJECTID,cohort_col,TESTNAME,UNITS,n,omnibus_pval,omnibus_qval_fdr_bh,outlier_handling,gba_included,log_transform,pd_only
LCC 108,HEURISTIC,Adenosine,mg/dL,39.0,0.9917883416265528,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,AICA-riboside,area,39.0,0.8507124318713545,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,AICA-riboside,area ratio,39.0,0.8106030382520905,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,alpha-Tocopherol,area,39.0,0.1665336629910188,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,alpha-Tocopherol,area ratio,39.0,0.172148393437035,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,Asymmetric dimethylarginine,area,39.0,0.0660649984612751,0.6375272351513052,none,False,False,True
LCC 108,HEURISTIC,Asymmetric dimethylarginine,area ratio,39.0,0.1805047728519234,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,Betaine,area,39.0,0.3147391722239749,0.9828894604710718,none,False,False,True
LCC 108,HEURISTIC,Betaine,area ratio,39.0,0.2054371877785901,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,Bilirubin,area,39.0,0.9580055271999344,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Bilirubin,area ratio,39.0,0.9471520613448148,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,BMP di18:1,area,39.0,0.8830113007579118,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,BMP di18:1,area ratio,39.0,0.940221027323939,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,BMP di22:6,area,39.0,0.6087667343957185,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,BMP di22:6,area ratio,39.0,0.6066558277594976,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Butyrobetaine,area,39.0,0.0123693107533616,0.2469596871102206,none,False,False,True
LCC 108,HEURISTIC,Butyrobetaine,area ratio,39.0,0.0106960892695404,0.2293716921134794,none,False,False,True
LCC 108,HEURISTIC,Butyrylcarnitine,area,39.0,0.1466846182563999,0.8940041470574267,none,False,False,True
LCC 108,HEURISTIC,Butyrylcarnitine,area ratio,39.0,0.1175856947511763,0.8728476571914242,none,False,False,True
LCC 108,HEURISTIC,Caffeine,area,39.0,0.2668313773856139,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,Caffeine,area ratio,39.0,0.29955153358901,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,CE HODE,area,39.0,0.423081572934986,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,CE HODE,area ratio,39.0,0.7358132142628115,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE HpODE,area,39.0,0.4334485016719742,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,CE HpODE,area ratio,39.0,0.5129397754767213,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE oxoODE,area,39.0,0.3961396565428194,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,CE oxoODE,area ratio,39.0,0.9543543119779074,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE(16:1),area,39.0,0.5242384767144939,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE(16:1),area ratio,39.0,0.5425977132380725,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE(18:1),area,39.0,0.448582574008071,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,CE(18:1),area ratio,39.0,0.9431515729727036,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE(18:2),area,39.0,0.5953861075295965,0.9991072098267856,none,False,False,True
